time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
606,147456,72,4.7478,243,316.78,1.4621555014513432,0.2,0.25649094581604004,710,-0.011466105753788725,0.08933763206005096,0.183056640625,-1.6101951435208322,0.0003,0.01821436,,
614,149504,73,5.0452,243,316.55,1.1019381537567825,0.2,0.4653221368789673,720,-0.009037071527563967,0.06929698586463928,0.208740234375,-1.594300825893879,0.0003,0.017704297,,
,150000,,,,,2.063489115610719,0.2,0.18135404586791992,730,-0.00908561441465281,0.40751221776008606,0.138671875,-1.6234663642942906,0.0003,0.013286808,-5.266,274.6
627,151552,74,3.8632,241,308.26,,,,,,,,,,,,
636,153600,75,3.2228000000000003,241,304.18,1.4636901169084013,0.2,0.17941224575042725,740,-0.0182789305516053,0.18085655570030212,0.21904296875,-1.6324338525533677,0.0003,0.017407339,,
644,155648,76,3.1164,241,303.53,0.847291852417402,0.2,0.6518526077270508,750,-0.01547464939794736,0.12330090999603271,0.22255859375,-1.6420128807425498,0.0003,0.022697337,,
653,157696,77,2.919500000000001,241,293.85,1.6145298017654568,0.2,0.4436463713645935,760,-0.01616379183542449,0.3709051012992859,0.1916015625,-1.7259967193007468,0.0003,0.019463008,,
660,159744,78,2.5120999999999998,241,293.07,1.9012544004246592,0.2,-0.054412841796875,770,-0.012854014633921907,0.3975229859352112,0.141650390625,-1.8111643865704536,0.0003,0.015747238,,
,160000,,,,,1.409086967026815,0.2,-0.059877634048461914,780,-0.016256497052381746,0.19224587082862854,0.19375,-1.7073523458093405,0.0003,0.019524727,-3.502,251.2
672,161792,79,2.2758999999999996,240,289.45,,,,,,,,,,,,
679,163840,80,1.8020999999999991,241,281.99,1.4438481086399406,0.2,-0.06818902492523193,790,-0.015884079833631402,0.2726314663887024,0.206640625,-1.7243699859827757,0.0003,0.018262204,,
687,165888,81,1.2495999999999992,241,276.71,1.1613397685810924,0.2,0.1609935164451599,800,-0.013085031512309797,0.12443403154611588,0.187109375,-1.6805417742580175,0.0003,0.022635289,,
695,167936,82,0.8704,241,278.77,1.674447205523029,0.2,0.05273157358169556,810,-0.013197408881387674,0.8028342723846436,0.170849609375,-1.758654747158289,0.0003,0.014343717,,
