time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
727040,1038,700,-15.146999999999998,52.47,355,3540,0.022802734375,-3.1073098182678223,-0.45144548555836084,1.3180535244572412e-06,0.2,0.0003,-0.004561558365821838,0.0008411255606915802,0.00095402496,,
729088,1041,700,-15.197999999999997,52.98,356,3550,0.01865234375,0.5307695865631104,-0.46284492453560233,2.459130405529919e-07,0.2,0.0003,-0.0072546773590147495,-0.0031431602867087348,0.0023289812,,
730000,,,,,,3560,0.012890625,0.5114957094192505,-0.4547483128495514,1.023219438511802e-07,0.2,0.0003,-0.00726925628259778,-0.0016456153403851203,0.0014608079,-16.26,63.6
731136,1044,700,-15.261999999999995,53.62,357,,,,,,,,,,,,
733184,1047,700,-15.330000000000002,54.3,358,3570,0.021533203125,0.4673616290092468,-0.4555330012924969,1.5375810096251996e-06,0.2,0.0003,-0.014310674741864204,6.344866706058383e-05,0.0034099934,,
735232,1050,700,-15.35,54.5,359,3580,0.053173828125,-0.3163156509399414,-0.4158793851733208,4.333942453804695e-08,0.2,0.0003,-0.01109998393803835,-0.007538945686246734,0.007223642,,
737280,1053,700,-15.481000000000002,55.81,360,3590,0.030615234375,-0.7124079465866089,-0.3824064876884222,3.979204747928122e-08,0.2,0.0003,-0.0038385449443012476,-0.0010608596945530734,0.0028646393,,
739328,1056,700,-15.572000000000001,56.72,361,3600,0.05341796875,-7.24581241607666,-0.3828737232834101,1.2537248346156105e-06,0.2,0.0003,-0.01348924171179533,-0.002829039747302886,0.002795294,,
740000,,,,,,3610,0.031298828125,-7.7242021560668945,-0.36299618389457466,1.5882190396609985e-06,0.2,0.0003,-0.0036222157068550587,-0.001293813051597681,0.003543661,-16.580000000000002,66.8
741376,1059,700,-15.686999999999998,57.87,362,,,,,,,,,,,,
743424,1061,700,-15.754000000000001,58.54,363,3620,0.011962890625,-8.205266952514648,-0.36755840983241794,1.3512893293210482e-08,0.2,0.0003,-0.006105872802436352,-0.0009064853336894884,0.001371698,,
745472,1064,700,-15.76,58.6,364,3630,0.036181640625,-5.084159851074219,-0.3959629789926112,2.4059545511434522e-08,0.2,0.0003,-0.014692745171487331,-0.00011184152972418815,0.0025227624,,
747520,1067,700,-15.788999999999998,58.89,365,3640,0.014501953125,-6.684706687927246,-0.3716962220147252,9.015568376291583e-08,0.2,0.0003,-0.0025829211808741093,-0.0019543744303518905,0.0023299097,,
749568,1070,700,-15.856000000000002,59.56,366,3650,0.020751953125,-3.8203110694885254,-0.3681446944363415,1.6744694007364557e-06,0.2,0.0003,-0.004728747997432947,-0.0022861636243760586,0.0015553823,,
750000,,,,,,3660,0.00556640625,-9.348169326782227,-0.3549123415723443,1.4557260730185817e-08,0.2,0.0003,-0.004769906401634216,-0.0007715383602771908,0.0009784272,-17.26,73.6
751616,1073,699,-15.977,60.77,367,,,,,,,,,,,,
753664,1076,699,-16.089000000000002,61.89,368,3670,0.039111328125,-9.888313293457031,-0.35024138577282427,4.167496364315682e-06,0.2,0.0003,-0.009924239479005337,0.0002431311586406082,0.0030186768,,
755712,1079,699,-16.038,61.38,369,3680,0.03515625,0.20605504512786865,-0.3673804525285959,8.334895658101971e-08,0.2,0.0003,-0.0040165819227695465,-0.0009515473007922992,0.0034729722,,
757760,1082,699,-15.963,60.63,370,3690,0.05185546875,0.7326003313064575,-0.37051068264991044,1.619955725118416e-08,0.2,0.0003,0.005595015361905098,-0.002220780812785961,0.0054674,,
759808,1085,699,-15.804,59.04,371,3700,0.073193359375,0.6725712418556213,-0.39677370274439455,7.824734416006506e-06,0.2,0.0003,-0.019306786358356476,0.0005105919291963801,0.0050318423,,
760000,,,,,,3710,0.0095703125,-0.06050550937652588,-0.3788137139752507,6.803334384741788e-09,0.2,0.0003,-0.008788932114839554,-0.0017097285715863108,0.0011011767,-16.34,64.4
761856,1088,699,-15.733999999999996,58.34,372,,,,,,,,,,,,
763904,1091,699,-15.650000000000002,57.5,373,3720,0.02646484375,-2.6516592502593994,-0.39592739995568993,1.4046453689076089e-08,0.2,0.0003,-0.005315233953297138,-0.0008986444183392451,0.0021834543,,
765952,1094,699,-15.556000000000001,56.56,374,3730,0.071044921875,-5.12747859954834,-0.4252610353752971,7.650266509173775e-09,0.2,0.0003,0.056009769439697266,-0.0017816281819250436,0.007562219,,
768000,1097,699,-15.426000000000002,55.26,375,3740,0.04072265625,-7.665510177612305,-0.40202703876420853,9.902960762531165e-09,0.2,0.0003,0.0025692014023661613,0.0002447146805934608,0.0054539843,,
770000,,,,,,3750,0.0423828125,-2.0496909618377686,-0.3562252799980342,3.0383798499400426e-08,0.2,0.0003,-0.010724607855081558,-0.001759411180682946,0.0067217983,-15.7,58.0
770048,1100,699,-15.341999999999999,54.42,376,,,,,,,,,,,,
772096,1103,699,-15.344000000000001,54.44,377,3760,0.011669921875,0.05688273906707764,-0.3451415908522904,4.699757353954226e-07,0.2,0.0003,-8.598963177064434e-05,-0.002411672669404652,0.0015809673,,
