rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
,,1380000,,,,6730,0.0030481296,-0.16649616479407997,0.2,0.03134765625,-0.0028767959040123968,0.32914113998413086,17.7394887432456,0.0003,9.847528457641602,757.0,37.32000000000001
217.084,583,1380352,2364,1242.47,674,,,,,,,,,,,,
215.091,583,1382400,2367,1240.2,675,6740,0.0046450756,-0.17695133399683982,0.2,0.03427734375,-0.0028597130280104467,0.376992404460907,12.416613346338272,0.0003,7.214908599853516,,
214.1,584,1384448,2370,1256.58,676,6750,0.0056945076,-0.1819118752144277,0.2,0.03515625,-0.0016247128121904097,0.4089199900627136,11.830390963703394,0.0003,11.778937339782715,,
209.556,584,1386496,2373,1256.65,677,6760,0.0054834047,-0.15810979413799942,0.2,0.037158203125,-0.003409694164292887,0.3482905626296997,18.110921193659305,0.0003,8.420888900756836,,
209.556,584,1388544,2376,1256.65,678,6770,0.009007223,-0.1704024435253814,0.2,0.0580078125,-0.0015206477502943017,0.30836522579193115,6.7981101900339125,0.0003,4.618655681610107,,
,,1390000,,,,6780,0.0045500137,-0.14340453676413745,0.2,0.0306640625,-0.0027009318800992332,0.21519768238067627,18.41590647995472,0.0003,7.080563545227051,1503.6,119.58
213.645,583,1390592,2383,1273.48,679,,,,,,,,,,,,
213.645,583,1392640,2386,1273.48,680,6790,0.0033372478,-0.13674352089874448,0.2,0.025537109375,-0.0021890072719543243,0.38633161783218384,13.964470267295837,0.0003,5.112113952636719,,
214.33,583,1394688,2389,1297.49,681,6800,0.015108217,-0.1737898730672896,0.2,0.0634765625,0.002779880980961025,-1.0556542873382568,0.9190943353576586,0.0003,0.040140364319086075,,
214.33,583,1396736,2392,1297.49,682,6810,0.0031796168,-0.14334925510920585,0.2,0.029296875,-0.0018566759012173862,0.33423036336898804,13.61449467241764,0.0003,4.014163017272949,,
211.84799999999998,583,1398784,2395,1317.56,683,6820,0.0034625446,-0.1840075848158449,0.2,0.03544921875,-0.0022758127393899485,0.33926427364349365,6.524559033289552,0.0003,3.834327220916748,,
,,1400000,,,,6830,0.006586697,-0.1763404306024313,0.2,0.058447265625,-0.005101416684919968,0.29568153619766235,14.305938547849655,0.0003,7.8261237144470215,2602.8,246.11999999999998
210.64499999999995,582,1400832,2406,1278.44,684,,,,,,,,,,,,
209.49899999999997,582,1402880,2409,1292.86,685,6840,0.0039389376,-0.18015365349128842,0.2,0.038427734375,-0.0018086192110786214,0.3162052035331726,10.899753714352846,0.0003,4.231364727020264,,
201.32600000000002,582,1404928,2412,1237.56,686,6850,0.0047011576,-0.17955699416343124,0.2,0.051904296875,-0.0032416499248938634,0.46132081747055054,6.96200045235455,0.0003,1.8180378675460815,,
201.246,582,1406976,2415,1240.01,687,6860,0.002278179,-0.13277556821703912,0.2,0.021923828125,-0.001908594518317841,0.2587321400642395,28.3258520424366,0.0003,11.05147933959961,,
